Truth,FirstName,LastName,Phone,Email,Result,Confidence Percentage
20,0.07222934,0.30437523,0.19115257,0.54050416,Contacts,0.27706532552838326
200,0.7837554,0.79966795,0.9062366,0.84582454,Products,0.8338711261749268
21,0.43035236,0.19294026,0.3195214,0.36050776,Contacts,0.32583044469356537
22,0.11785754,0.35754162,0.33874595,0.53098255,Contacts,0.33628191612660885
23,0.13652112,0.27198932,0.492384,0.49162903,Contacts,0.34813086315989494
24,0.20366107,0.048806127,0.4634996,0.49736065,Contacts,0.30333186220377684
25,0.51263374,0.2699609,0.37109426,0.6235174,Contacts,0.444301575422287
26,0.5570259,0.35135928,0.40686348,0.7473554,Products,0.5156510174274445
27,0.059337873,0.54993755,0.31153628,0.30209893,Contacts,0.3057276578620076
28,0.25321847,0.67006165,0.29703206,0.30315173,Contacts,0.3808659762144089
29,0.62084985,0.42889786,0.28745365,0.27117983,Contacts,0.4020952954888344
3,0.08458795,0.023336653,0.38518605,0.8143139,Contacts,0.32685613352805376
30,0.7400202,0.40096977,0.30395004,0.28769627,Contacts,0.43315907567739487
31,0.33466798,0.044508457,0.56536216,0.8897238,Contacts,0.4585655927658081
32,0.3988865,0.10825618,0.49081123,0.86862576,Contacts,0.4666449185460806
33,0.26131707,0.04928993,0.56387025,0.43610194,Contacts,0.32764479983597994
34,0.37246478,0.054022938,0.8219318,0.42064258,Contacts,0.41726551949977875
35,0.4296773,0.17043214,0.8749136,0.8712804,Products,0.5865758471190929
36,0.27799603,0.11619979,0.32010064,0.5230831,Contacts,0.3093448877334595
37,0.17058475,0.2706998,0.6689226,0.5561401,Contacts,0.41658682003617287
38,0.20509568,0.59828687,0.5678772,0.30871016,Contacts,0.41999246925115585
39,0.27748317,0.10228977,0.44175816,0.80137557,Contacts,0.4057266656309366
4,0.27044854,0.14392568,0.39619946,0.28783742,Contacts,0.2746027745306492
40,0.29743376,0.1880187,0.62664735,0.54697835,Contacts,0.4147695414721966
41,0.6292107,0.14714423,0.5444887,0.8620819,Products,0.5457313880324364
42,0.4469062,0.15751456,0.5141924,0.27785647,Contacts,0.3491174094378948
43,0.3606624,0.13122967,0.57414347,0.50992644,Contacts,0.39399049431085587
44,0.21253617,0.07902753,0.77665377,0.63084704,Contacts,0.4247661270201206
45,0.13168623,0.085554816,0.8348329,0.49252993,Contacts,0.3861509691923857
46,0.16291364,0.1344797,0.67485684,0.49252993,Contacts,0.36619502678513527
47,0.11061354,0.15934975,0.4702463,0.49252993,Contacts,0.308184877038002
48,0.19050036,0.08107747,0.37376636,0.49252993,Contacts,0.28446853160858154
49,0.11365678,0.09937249,0.59481585,0.49252993,Contacts,0.3250937629491091
5,0.22244702,0.031250477,0.4669413,0.82334185,Contacts,0.38599516078829765
50,0.19039746,0.26992136,0.8374871,0.64145243,Contacts,0.4848145879805088
51,0.09841944,0.2172676,0.3683348,0.64145243,Contacts,0.3313685692846775
52,0.13811663,0.19394879,0.3002507,0.64145243,Contacts,0.31844213977456093
53,0.2991222,0.13162532,0.6029205,0.75787276,Contacts,0.4478851929306984
54,0.3774059,0.12185461,0.4628352,0.75787276,Contacts,0.4299921188503504
55,0.19178024,0.06578532,0.6828588,0.75787276,Contacts,0.4245742857456207
56,0.17105155,0.26334253,0.79616976,0.3138285,Contacts,0.38609808310866356
57,0.16056873,0.0389445,0.8769674,0.6491238,Contacts,0.43140109721571207
58,0.08285831,0.245974,0.8576459,0.8570457,Products,0.5108809880912304
59,0.24026892,0.09724938,0.874056,0.4110217,Contacts,0.405648997053504
6,0.09061217,0.13388413,0.31178203,0.8767084,Contacts,0.35324668139219284
60,0.19636379,0.12899803,0.95574975,0.6751524,Contacts,0.4890659973025322
61,0.1315226,0.11213508,0.8033488,0.7981607,Contacts,0.4612917825579643
62,0.30813,0.1974991,0.71304375,0.80137557,Products,0.5050121024250984
63,0.48562,0.0855441,0.7730006,0.92407936,Products,0.5670610126107931
64,0.1774948,0.099652044,0.7554306,0.27972236,Contacts,0.3280749451369047
65,0.20243454,0.2068476,0.64110315,0.60254306,Contacts,0.41323208436369896
66,0.11605307,0.05931036,0.5577383,0.824199,Contacts,0.389325188472867
67,0.074184746,0.04853144,0.4555734,0.3465064,Contacts,0.23119899537414312
68,0.69441134,0.06856292,0.5299681,0.37199995,Contacts,0.41623557172715664
69,0.24513587,0.08769581,0.548888,0.39520025,Contacts,0.31922999024391174
7,0.12002576,0.08450836,0.32994762,0.8015342,Contacts,0.33400397934019566
70,0.08188817,0.04928993,0.8021868,0.35684434,Contacts,0.3225523056462407
71,0.17470576,0.15433946,0.7461916,0.1506492,Contacts,0.306471511721611
72,0.19748391,0.10067887,0.23184514,0.5424965,Contacts,0.268126105889678
73,0.16932479,0.13834852,0.2802055,0.42234224,Contacts,0.2525552585721016
74,0.14968696,0.06497723,0.30644062,0.26099983,Contacts,0.19552616029977798
75,0.05023618,0.030729627,0.31845886,0.69939715,Contacts,0.27470545237883925
76,0.12327489,0.02680978,0.2806637,0.6758017,Contacts,0.2766375164501369
77,0.1197842,0.044508457,0.346963,0.5054992,Contacts,0.25418870709836483
78,0.08684672,0.029913587,0.25050554,0.48142722,Contacts,0.21217326587066054
79,0.06690925,0.06759616,0.2815633,0.9760346,Contacts,0.34802582673728466
8,0.14551899,0.08485544,0.31521586,0.78884226,Contacts,0.33360813558101654
80,0.38306454,0.6119001,0.44714352,0.27291003,Contacts,0.4287545457482338
81,0.27740642,0.10469267,0.5498882,0.31062758,Contacts,0.3106537163257599
82,0.13189389,0.46410406,0.3861669,0.8146745,Contacts,0.4492098353803158
83,0.15423132,0.07962302,0.74960846,0.35404217,Contacts,0.33437624387443066
84,0.19760065,0.05413725,0.78922635,0.47967884,Contacts,0.380160772241652
85,0.10560559,0.04248129,0.77264065,0.8046634,Contacts,0.4313477352261543
86,0.18203285,0.08905524,0.5884059,0.46908823,Contacts,0.332145556807518
87,0.08150461,0.3435611,0.66407925,0.52180225,Contacts,0.4027368053793907
88,0.11538034,0.016546385,0.78725696,0.6579798,Contacts,0.3942908667959273
89,0.07536083,0.06735524,0.5694965,0.8574815,Contacts,0.39242351427674294
9,0.111124605,0.05495046,0.32548967,0.8057891,Contacts,0.3243384622037411
90,0.12877753,0.24368303,0.28027332,0.8048182,Contacts,0.36438802257180214
91,0.098065406,0.32624945,0.7230645,0.78061026,Contacts,0.48199740052223206
92,0.076318644,0.33096266,0.23872353,0.5105525,Contacts,0.2891393397003412
93,0.079565816,0.44066128,0.47515315,0.5225334,Contacts,0.3794784154742956
94,0.18270417,0.2468168,0.5705583,0.34945902,Contacts,0.33738457411527634
95,0.07875896,0.290926,0.3728612,0.5649113,Contacts,0.32686437107622623
96,0.06949998,0.17043214,0.93983054,0.9608105,Products,0.5351432841271162
97,0.3977928,0.32231787,0.80453855,0.8322009,Products,0.5892125219106674
98,0.84353524,0.15644468,0.804766,0.2941912,Products,0.5247342847287655
99,0.8265957,0.1148793,0.90715533,0.93959713,Products,0.6970568727701902
